Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
On Dublin Street,Samantha Young,eBook,15.99,,None,None,None,None
On Dublin Street,Samantha Young,eBook,15.99,,None,None,None,None
Hinds' Feet on High Places,Hannah Hurnard,,28.99,26.25,None,None,None,None
Holy Bible,Tyndale House Publishers,,,,None,None,None,None
Holy Bible,Tyndale House Publishers,,,,None,None,None,None
Holy Bible,Tyndale House Publishers,,,,None,None,None,None
Dominic,L.A. Casey,eBook,4.99,,None,None,None,None
Before They Are Hanged : First Law,Joe Abercrombie,eBook,12.99,,None,None,None,None
Goodnight Lady,Martina Cole,Paperback,24.99,21.75,None,None,None,None
Goodnight Lady,Martina Cole,Paperback,24.99,21.75,None,None,None,None
Moving Pictures,Terry Pratchett,eBook,15.99,,None,None,None,None
Gateway to the Seer Realm,Barbie Breathitt,Paperback,32.63,,None,None,None,None
Gateway to the Seer Realm,Barbie Breathitt,Paperback,32.63,,None,None,None,None
Gateway to the Seer Realm,Barbie Breathitt,Paperback,32.63,,None,None,None,None
Pop Goes the Weasel,M. J. Arlidge,eBook,15.99,,None,None,None,None
Giovanni's Room,James Baldwin,eBook,15.99,,None,None,None,None
A Mistletoe Kiss,Katie Flynn,eBook,15.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Hornblower and the Crisis,C.S. Forester,eBook,15.99,,None,None,None,None
Hornblower and the Crisis,C.S. Forester,eBook,15.99,,None,None,None,None
Hornblower and the Crisis,C.S. Forester,eBook,15.99,,None,None,None,None
Stalingrad,Antony Beevor,eBook,15.99,,None,None,None,None
The Diary of a Nobody,George Grossmith,eBook,10.99,,None,None,None,None
The Diary of a Nobody,George Grossmith,eBook,10.99,,None,None,None,None
Bless Her Dead Heart,Meg Collett,eBook,1.39,,None,None,None,None
Bless Her Dead Heart,Meg Collett,eBook,1.39,,None,None,None,None
Bless Her Dead Heart,Meg Collett,eBook,1.39,,None,None,None,None
A Wrinkle in Time,Madeleine L'Engle,eBook,9.99,,None,None,None,None
A Wrinkle in Time,Madeleine L'Engle,eBook,9.99,,None,None,None,None
A Wrinkle in Time,Madeleine L'Engle,eBook,9.99,,None,None,None,None
A Spell of Winter,Helen Dunmore,eBook,15.99,,None,None,None,None
A Spell of Winter,Helen Dunmore,eBook,15.99,,None,None,None,None
Smiley's People,John le Carré,eBook,15.99,,None,None,None,None
Smiley's People,John le Carré,eBook,15.99,,None,None,None,None
Smiley's People,John le Carré,eBook,15.99,,None,None,None,None
Jolly Foul Play,Robin Stevens,eBook,9.99,,None,None,None,None
Jolly Foul Play,Robin Stevens,eBook,9.99,,None,None,None,None
